na2,na1,nt2,ftm,cell_type,fa2,fa1,ft1,nt1,ntm,ft2,base_name,treatment,cell_line,normrr
24.57192371,75.42807629,2286.444323,1208.760671,epithelial,20.68161929,79.31838077,756.8307246,453.6146707,892.8531247,3032.526624,A549_cntrl_04_168,control,A549,0.842192643
22.00854832,77.99145165,2257.034824,1292.103853,epithelial,20.89766198,79.10233808,813.8879952,450.6726165,838.4932488,3178.065911,A549_cntrl_06_181,control,A549,0.842490028
21.57041805,78.42958192,2308.260548,1262.372874,epithelial,20.43773504,79.56226483,796.0192097,455.7491136,841.7171555,3164.968357,A549_cntrl_02_88,control,A549,0.842581349
20.95860963,79.04139038,2237.567482,1175.831687,epithelial,19.83040664,80.16959339,754.5987963,436.5581075,803.5171326,3034.163055,A549_cntrl_06_37,control,A549,0.843008642
22.51143345,77.48856652,2247.273031,1239.625773,epithelial,20.80006469,79.19993544,786.5243614,442.8582338,836.9209369,3062.458151,A549_cntrl_02_71,control,A549,0.843034879
21.57090451,78.4290955,2248.889618,1190.721432,epithelial,19.63558142,80.36441847,774.2205569,453.9694771,830.778705,2990.487822,A549_cntrl_06_111,control,A549,0.843193847
22.44149042,77.55850954,2211.707821,1226.941461,epithelial,20.97929558,79.02070448,796.8559019,428.1680848,817.7837656,3052.311624,A549_cntrl_03_224,control,A549,0.843216099
21.41729176,78.58270831,2337.166836,1191.529125,epithelial,19.21034674,80.78965324,795.8345162,464.1684723,854.7136828,2890.184949,A549_cntrl_04_124,control,A549,0.843445239
21.52620446,78.47379551,2323.028127,1235.307867,epithelial,21.73795134,78.26204864,659.4830765,458.7046505,845.7043605,3419.591949,A549_cntrl_01_186,control,A549,0.843903636
20.56580426,79.43419566,2086.259369,1212.407688,epithelial,20.16507655,79.83492306,818.4329428,419.4538935,756.5200335,2925.025866,A549_cntrl_06_139,control,A549,0.844270166
23.52397183,76.47602819,2218.917693,1208.506592,epithelial,20.00534218,79.99465769,815.4114825,428.4556634,837.7936958,2872.626823,A549_cntrl_03_151,control,A549,0.844288743
22.28593568,77.71406436,2296.366931,1205.447009,epithelial,20.81224278,79.18775728,733.4629884,446.7374901,843.9883648,3115.296881,A549_cntrl_05_82,control,A549,0.844401987
